Book,Author(s),Original language,First published,Approximate sales
The Joy of Cooking,Various authors,English,1936,18 million  [344]
スーパーマップル (  Super Mapple  ),Various authors,Japanese,1991–present,18 million  [345]
チャート式  [  ja  ]  (Chart Shiki),Various authors,Japanese,1927–present,"17.44 million, only for the first grade of high-school  [346]"
"英語基本単語集 (  Eigo Kihon Tangoshu  ) ""Compilation of basic English vocabulary""",Yoshio Akao,"Japanese, English",1942,17.2 million  [346]
Merriam-Webster Pocket Dictionary,,English,(Up to 1975),15.11 million  [347]
"試験に出る英単語 (  Siken Ni Deru Eitango  ) ""English vocabulary in examinations""",Ichiro Mori,"Japanese, English",1967,15 million  [348]
"新英和中辞典 (  Shin Eiwa Chu Jiten  ) ""New English-Japanese Dictionary""",Shigeru Takebayashi,"Japanese, English",1967,12 million  [349]
広辞苑 (  Kōjien  ),Izuru Shinmura,Japanese,1955,11.9 million  [350]
"旺文社古語辞典 (  Obunsha Kogo Jiten  ) ""Obunsha Dictionary of Archaisms""",Akira Matsumura,Japanese,1960,11 million  [351]
Hammond's  Pocket Atlas,,English,(Up to 1965),11 million  [352]
"三省堂国語辞典 (  Sanseido Kokugo Jiten  ) ""Sanseido Dictionary of the Japanese Language""",Kenbō Hidetoshi,Japanese,1960,10 million  [353]
"家庭に於ける実際的看護の秘訣 (  Katei Ni Okeru Jissaiteki Kango No Hiketsu  ) ""Key to Practical Personal Care at Home""",Takichi Tsukuda,Japanese,1925,10 million  [354]
C程序设计  (  C Program Design  ),"Tan, Haoqiang",Chinese,1991,10 million  [355]
