Book series,Author(s),Original language,No. of installments,First published,Approximate sales,Genre
地球往事 (  Remembrance of Earth's Past  ),Liu Cixin,Chinese,3,2008–2010,29 million  [270],science fiction
三毛猫ホームズシリーズ  [  ja  ]  (  Calico Cat Holmes series  ),Jirō Akagawa,Japanese,43,1978–present,28 million  [271],"detective  ,  mystery"
Curious George,Hans Augusto Rey  and  Margret Rey,English,58,1941–present,27 million  [272],Children's Literature
Shannara,Terry Brooks,English,20,1977–present,26 million  [273],
Kurt Wallander,Henning Mankell,Swedish,10,1991–2002,25 million  [274],
Sagan om Isfolket  (  The Legend of the Ice People  ),Margit Sandemo,Swedish,47,1982–1989,25 million  [275],
The Sword of Truth,Terry Goodkind,English,21,1998–present,25 million  [276],
Outlander,Diana Gabaldon,English,8,1991–present,25 million  [277],
ズッコケ三人組  [  ja  ]  (  Zukkoke Sanningumi  ),Masamoto Nasu,Japanese,50,1978–2004,25 million  [278],Children's Literature
鬼平犯科帳 (  Onihei Hankachō  ),Shōtarō Ikenami,Japanese,24,1968–1990,"24.4 million, only  bunkobon  [279]",jidaigeki
Brain Quest,Various authors,English,,1992–present,23.7 million  [280],
South Beach Diet,Arthur Agatston,English,6,2003–present,22 million  [281],
ソードアート・オンライン (  Sword Art Online  ),Reki Kawahara,Japanese,27,2009–present,30 million  [282],
竜馬がゆく  [  ja  ]  (  Ryoma ga Yuku  ),Ryōtarō Shiba,Japanese,5,1963–1966,21.5 million  [283],jidaigeki
Artemis Fowl,Eoin Colfer,English,8 + 1 companion book,2001–2012,21 million  [284],
The Cosmere,Brandon Sanderson,English,30+  [285],2005–present,21 Million  [286],
Dune  series,Frank Herbert,English,30+,1965,20 million  [118],Science fiction novel
I Survived,Lauren Tarshis,English,25,2010–2020,more than 20 million  [287]  [288],
Découvertes Gallimard,Various authors,French,more than 700,1986–present,more than 20 million  [289]  [290],
Redwall,Brian Jacques,English,22,1986–2011,20 million  [291],
Maisy,Lucy Cousins,English,23,1990–present,20 million  [132],
Dragonlance,Various authors,English,more than 150,1984–present,20 million  [292],
幻魔大戦 (  Genma Taisen  ),Kazumasa Hirai,Japanese,20,1979–1983,20 million  [293],
青春の門 (  The Gate of Youth  ),Hiroyuki Itsuki,Japanese,,1970–present,20 million  [294],
スレイヤーズ (  Slayers  ),Hajime Kanzaka,Japanese,50,1989–present,20 million  [295],
The Foundation Trilogy,Isaac Asimov,English,3  [296],1950–1953,20 million  [297],
Horrible Histories,Terry Deary,English,24,1993–present,20 million  [298],
Rainbow Magic,Daisy Meadows,English,80+,2003–present,20 million  [299],
Morgan Kane,Louis Masterson,Norwegian,90,1966–,20 million  [300],
The Southern Vampire Mysteries,Charlaine Harris,English,13,2001–2013,20 million  [301],
